"Country","region","fertility","ppgdp","lifeExpF","pctUrban","infantMortality","gr"
"Albania","Europe",1.525,3677.2,80.4,53,16.561,5.3
"Algeria","Africa",2.142,4473,75,67,21.458,1.5
"Angola","Africa",5.135,4321.9,53.17,59,96.191,4.1
"Argentina","America",2.172,9162.1,79.89,93,12.337,2.3
"Armenia","Asia",1.735,3030.7,77.33,64,24.272,6.1
"Australia","Oceania",1.949,57118.9,84.27,89,4.455,2.2
"Austria","Europe",1.346,45158.8,83.55,68,3.713,1.8
"Azerbaijan","Asia",2.148,5637.6,73.66,52,37.566,5.9
"Bahamas","Caribbean",1.877,22461.6,78.85,84,14.135,0.7
"Bahrain","Asia",2.43,18184.1,76.06,89,6.663,1.3
"Bangladesh","Asia",2.157,670.4,70.23,29,41.786,3.6
"Barbados","Caribbean",1.575,14497.3,80.26,45,12.284,1.1
"Belarus","Europe",1.479,5702,76.37,75,6.494,4.7
"Belgium","Europe",1.835,43814.8,82.81,97,3.739,1.6
"Belize","America",2.679,4495.8,77.81,53,16.2,1.8
"Benin","Africa",5.078,741.1,58.66,42,76.674,1.3
"Bhutan","Asia",2.258,2047.2,69.84,35,37.995,5.3
"Bolivia","America",3.229,1977.9,69.4,67,40.684,1.6
"Bosnia and Herzegovina","Europe",1.134,4477.7,78.4,49,12.695,8.3
"Botswana","Africa",2.617,7402.9,51.34,62,35.117,3.4
"Brazil","America",1.8,10715.6,77.41,87,19.016,1.6
"Brunei Darussalam","Asia",1.984,32647.6,80.64,76,4.529,-0.4
"Bulgaria","Europe",1.546,6365.1,77.12,72,9.149,3.3
"Burkina Faso","Africa",5.75,519.7,57.02,27,70.958,2.8
"Burundi","Africa",4.051,176.6,52.58,11,94.083,-1.4
"Cambodia","Asia",2.422,797.2,65.1,20,52.835,6.5
"Cameroon","Africa",4.287,1206.6,53.56,59,84.915,0.8
"Canada","America",1.691,46360.9,83.49,81,4.926,1.8
"Cape Verde","Africa",2.279,3244,77.7,62,18.458,5
"Central African Republic","Africa",4.423,450.8,51.3,39,95.781,-0.5
"Chad","Africa",5.737,727.4,51.61,28,123.94,3.1
"Chile","America",1.832,11887.7,82.35,89,6.792,3.4
"China","Asia",1.559,4354,75.61,48,19.637,9.3
"Colombia","America",2.293,6222.8,77.69,75,16.671,1.6
"Comoros","Africa",4.742,736.6,63.18,28,62.83,-0.8
"Congo","Africa",4.442,2665.1,59.33,63,66.738,0.4
"Costa Rica","America",1.812,7703.8,81.99,65,9.172,2.6
"Croatia","Europe",1.501,13819.5,80.37,58,5.571,2.8
"Cuba","Caribbean",1.451,5704.4,81.33,75,4.959,3
"Cyprus","Asia",1.458,28364.3,82.14,71,4.434,2
"Czech Republic","Europe",1.501,18838.8,81,74,2.997,2.7
"Democratic Republic of the Congo","Africa",5.485,200.6,50.56,36,109.477,-2.6
"Denmark","Europe",1.885,55830.2,81.37,87,3.914,1.4
"Djibouti","Africa",3.589,1282.6,60.04,76,74.95,-1.4
"Dominican Republic","Caribbean",2.49,5195.4,76.57,70,21.589,3.9
"Ecuador","America",2.393,4072.6,78.91,68,19.07,1.5
"Egypt","Africa",2.636,2653.7,75.52,44,22.029,2.8
"El Salvador","America",2.171,3425.6,77.09,65,19.007,2.4
"Equatorial Guinea","Africa",4.98,16852.4,52.91,40,93.315,18.2
"Eritrea","Africa",4.243,429.1,64.41,22,47.508,-0.8
"Estonia","Europe",1.702,14135.4,79.95,70,4.382,5.5
"Ethiopia","Africa",3.848,324.6,61.59,17,62.902,3.3
"Fiji","Oceania",2.602,3545.7,72.27,52,17.216,1.3
"Finland","Europe",1.875,44501.7,83.28,85,2.783,2.5
"France","Europe",1.987,39545.9,84.9,86,3.345,1.2
"Gabon","Africa",3.195,12468.8,64.32,86,43.77,-0.7
"Gambia","Africa",4.689,579.1,60.3,59,66.374,0.9
"Georgia","Asia",1.528,2680.3,77.31,53,25.585,2.7
"Germany","Europe",1.457,39857.1,82.99,74,3.487,1.3
"Ghana","Africa",3.988,1333.2,65.8,52,43.867,2.5
"Greece","Europe",1.54,26503.8,82.58,62,4.488,2.2
"Grenada","Caribbean",2.171,7429,77.72,40,13.042,2.9
"Guatemala","America",3.84,2882.3,75.1,50,26.269,1.3
"Guinea","Africa",5.032,427.5,56.39,36,84.176,2.9
"Guinea-Bissau","Africa",4.877,539.4,50.4,30,109.818,-1.2
"Guyana","America",2.19,2996,73.45,29,36.83,2.8
"Haiti","Caribbean",3.159,612.7,63.87,54,58.26,-1
"Honduras","America",2.996,2026.2,75.92,52,23.515,1.6
"Hungary","Europe",1.43,12884,78.47,68,5.304,2.5
"Iceland","Europe",2.098,39278,83.77,94,2.057,2.1
"India","Asia",2.538,1406.4,67.62,30,47.894,4.9
"Indonesia","Asia",2.055,2949.3,71.8,45,24.929,2.7
"Iraq","Asia",4.535,888.5,72.6,66,33.293,-1.9
"Ireland","Europe",2.097,46220.3,83.17,62,3.859,0.6
"Israel","Asia",2.909,29311.6,84.19,92,3.347,1.8
"Italy","Europe",1.476,33877.1,84.62,69,3.417,0.8
"Jamaica","Caribbean",2.262,4899,75.98,52,22.023,0.5
"Japan","Asia",1.418,43140.9,87.12,67,2.549,0.7
"Jordan","Asia",2.889,4445.3,75.17,79,19.14,2.6
"Kazakhstan","Asia",2.481,9166.7,72.84,59,23.716,4.1
"Kenya","Africa",4.623,801.8,59.16,23,58.142,0.4
"Kiribati","Oceania",3.5,1468.2,63.1,44,52,1.1
"Kuwait","Asia",2.251,45430.4,75.89,98,7.563,1.4
"Kyrgyzstan","Asia",2.621,865.4,72.36,35,32.765,0.7
"Latvia","Europe",1.506,10663,78.51,68,6.7,4.4
"Lebanon","Asia",1.764,9283.7,75.07,87,20.223,2.5
"Lesotho","Africa",3.051,980.7,48.11,28,62.103,2.3
"Liberia","Africa",5.038,218.6,58.59,48,76.853,5.5
"Lithuania","Europe",1.495,10975.5,78.28,67,5.941,3.6
"Luxembourg","Europe",1.683,105095.4,82.67,85,2.289,2.7
"Madagascar","Africa",4.493,421.9,68.61,31,41.03,-0.3
"Malawi","Africa",5.968,357.4,55.17,20,86.06,1.3
"Malaysia","Asia",2.572,8372.8,76.86,73,6.88,3.1
"Maldives","Asia",1.668,4684.5,78.7,41,8.07,5.8
"Mali","Africa",6.117,598.8,53.14,37,92.206,2.1
"Malta","Europe",1.284,19599.2,82.29,95,5.405,2.4
"Marshall Islands","Oceania",4.384466259,3069.4,70.6,72,21,0.5
"Mauritania","Africa",4.361,1131.1,60.95,42,69.93,1.3
"Mauritius","Africa",1.59,7488.3,76.89,42,12.112,3.5
"Mexico","America",2.227,9100.7,79.64,78,14.146,1.3
"Mongolia","Asia",2.446,2246.7,72.83,63,30.705,3.3
"Montenegro","Europe",1.63,6509.8,77.37,61,7.733,3.4
"Morocco","Africa",2.183,2865,74.86,59,28.502,2.5
"Mozambique","Africa",4.713,407.5,51.81,39,77.858,4.3
"Myanmar","Asia",1.939,876.2,67.87,34,44.802,7.4
"Namibia","Africa",3.055,5124.7,63.04,39,29.761,1.9
"Nepal","Asia",2.587,534.7,70.05,19,32.013,1.9
"Netherlands","Europe",1.794,46909.7,82.79,83,4.168,1.9
"New Zealand","Oceania",2.135,32372.1,82.77,86,4.757,1.8
"Nicaragua","America",2.5,1131.9,77.45,58,18.315,1.9
"Niger","Africa",6.925,357.7,55.77,17,85.82,-0.2
"Nigeria","Africa",5.431,1239.8,53.38,51,87.561,2.1
"Norway","Europe",1.948,84588.7,83.47,80,2.94,2
"Oman","Asia",2.146,20791,76.44,73,8.414,2.7
"Pakistan","Asia",3.201,1003.2,66.88,36,65.724,1.9
"Palau","Oceania",2,10821.8,72.1,84,20.07528231,-0.1
"Panama","America",2.409,7614,79.07,75,16.168,3.4
"Papua New Guinea","Oceania",3.799,1428.4,65.52,13,44.474,0.1
"Paraguay","America",2.858,2771.1,74.91,62,27.375,0.3
"Peru","America",2.41,5410.7,76.9,77,18.273,3.2
"Philippines","Asia",3.05,2140.1,72.57,49,20.886,1.9
"Poland","Europe",1.415,12263.2,80.56,61,5.546,4.4
"Portugal","Europe",1.312,21437.6,82.76,61,4.175,1.5
"Qatar","Asia",2.204,72397.9,78.24,96,8.195,0.8
"Republic of Korea","Asia",1.389,21052.2,83.95,83,3.647,4.1
"Romania","Europe",1.428,7522.4,77.95,58,12.216,2.8
"Russian Federation","Europe",1.529,10351.4,75.01,73,10.534,2.3
"Rwanda","Africa",5.282,532.3,57.13,19,92.87,2.3
"Saint Lucia","Caribbean",1.907,6677.1,77.54,28,12.26,0.7
"Samoa","Oceania",3.763,3343.3,76.02,20,19.848,2.8
"Saudi Arabia","Asia",2.639,15835.9,75.57,82,16.202,0.2
"Senegal","Africa",4.605,1032.7,60.92,43,49.802,1.1
"Serbia","Europe",1.562,5123.2,77.05,56,10.63,1.4
"Sierra Leone","Africa",4.728,351.7,48.87,39,103.459,1.1
"Singapore","Asia",1.367,43783.1,83.71,100,1.916,3.5
"Slovakia","Europe",1.372,15976,79.53,55,5.676,3.7
"Slovenia","Europe",1.477,23109.8,82.84,49,3.279,3.2
"Solomon Islands","Oceania",4.041,1193.5,70,19,34.569,-0.9
"South Africa","Africa",2.383,7254.8,54.09,62,45.892,1.3
"Spain","Europe",1.504,30542.8,84.76,78,3.573,1.9
"Sri Lanka","Asia",2.235,2375.3,78.4,14,11.213,4.1
"Suriname","America",2.266,7018,74.18,70,19.775,1.7
"Swaziland","Africa",3.174,3311.2,48.54,21,64.622,1.8
"Sweden","Europe",1.925,48906.2,83.65,85,2.544,2.2
"Switzerland","Europe",1.536,68880.2,84.71,74,3.513,0.9
"Tajikistan","Asia",3.162,816,71.23,26,50.947,0.2
"Thailand","Asia",1.528,4612.8,77.76,34,11.398,2.8
"Togo","Africa",3.864,524.6,59.4,44,67.297,-0.1
"Tonga","Oceania",3.783,3543.1,75.38,24,20.591,1.5
"Trinidad and Tobago","Caribbean",1.632,15205.1,73.82,14,24.458,4.8
"Tunisia","Africa",1.909,4222.1,77.05,68,18.384,3.3
"Turkey","Asia",2.022,10095.1,76.61,70,19.901,2.4
"Turkmenistan","Asia",2.316,4587.5,69.4,50,48.797,5.8
"Tuvalu","Oceania",3.7,3187.2,65.1,51,17.32283465,2.1
"Uganda","Africa",5.901,509,55.44,13,72.265,3.7
"Ukraine","Europe",1.483,3035,74.58,69,11.822,0.6
"United Arab Emirates","Asia",1.707,39624.7,78.02,84,6.608,-1.9
"United Kingdom","Europe",1.867,36326.8,82.42,80,4.702,2.4
"United States","America",2.077,46545.9,81.31,83,6.46,1.7
"Uruguay","America",2.043,11952.4,80.66,93,11.754,2.1
"Uzbekistan","Asia",2.264,1427.3,71.9,36,44.481,2.5
"Vanuatu","Oceania",3.75,2963.5,73.58,26,24.135,0.6
"Viet Nam","Asia",1.75,1182.7,77.44,31,18.263,6
"Yemen","Asia",4.938,1437.2,67.66,32,44.412,1.1
"Zambia","Africa",6.3,1237.8,50.04,36,80.956,0.8
"Zimbabwe","Africa",3.109,573.1,52.72,39,47.284,-3
